"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0272394329694","0.0464936535078641","234.615243513268","0.585874219688772","0.558523209613256"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0847600877908246","0.0464936535078641","234.615243513268","1.82304640302118","0.0695689765682279"
"motr","gaze_duration","12","24","Gram_x_Synt","0.00116243218863497","0.0484755553524186","244.999867215691","0.0239797601117523","0.980888272310343"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0361273847447433","0.0484755553524186","244.999867215691","0.745270156929532","0.456822774710212"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0309881540001977","0.0472592017902024","236.013093770523","-0.655706250345982","0.512651818800543"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0230634798266847","0.0472592017902024","236.013093770523","0.488020934612276","0.625988078644567"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0391381767821932","0.0443854847737056","237.210979681525","0.881778738741612","0.378789090226206"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.00940767783746724","0.0443854847737056","237.210979681525","-0.211953927853469","0.832324980983848"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0214097266660467","0.0441765605490059","209.503216891841","0.484639962911926","0.628438065005207"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0128275398261131","0.0441765605490059","209.503216891841","0.290369817538947","0.771820548205335"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.00206949578954158","0.0520231732644283","209.712037469766","-0.0397802682858762","0.96830615225123"
"motr","gaze_duration","12","24","Gram_x_Lex","0.00671906921742435","0.0520231732644283","209.712037469766","0.129155312830919","0.897358540163501"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0415729594484367","0.0486807800849648","237.299814385865","0.853991233827344","0.393971106600919"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0286108140171341","0.0486807800849648","237.299814385865","-0.587722998012734","0.557277088300162"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0344976969019907","0.0431864570874409","233.967129173056","0.798808219719024","0.425211754886029"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0831640072822326","0.0431864570874409","233.967129173056","-1.92569645418812","0.0553542689413049"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0126832240825092","0.04712818268665","208.047669154869","0.26912185786663","0.788102614507024"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0483085689858596","0.04712818268665","208.047669154869","1.02504629357465","0.306531696134276"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0065143246019005","0.0449650316757268","234.931193374982","-0.144875347778685","0.884933502087733"
"motr","gaze_duration","12","24","Gram_x_Lex","0.11881756850015","0.0449650316757268","234.931193374982","2.64244378514006","0.00878430964656696"
"motr","gaze_duration","12","24","Gram_x_Synt","0.121297621238114","0.0492675441350003","223.755254461028","2.46201882735906","0.0145713773869109"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0940151247551025","0.0492675441350003","223.755254461028","-1.90825677239944","0.0576379877471715"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0278032473371256","0.0490077257097799","215.286205477726","0.567323762416038","0.571085327174336"
"motr","gaze_duration","12","24","Gram_x_Lex","0.020632620338593","0.0490077257097799","215.286205477726","0.421007505240661","0.674169591749952"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.00593664171942565","0.0480604113535055","257.000012928435","-0.123524571518105","0.901788267302425"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.057395795791773","0.0480604113535055","257.000012928436","-1.19424270777879","0.233484111795362"
