"item_id","type","target_gender","gender_match","word_nr","word","AOI_id","correctness","subj_id","word_length","word_len_pre1","word_len_pre2","cond","log_freq","Gram","Gen","Synt","Lex","Gram_x_Gen","Gen_x_Synt","Gen_x_Lex","Gram_x_Synt","Gram_x_Lex","Gram_x_Gen_x_Synt","Gram_x_Gen_x_Lex","first_duration","FPFix","FPReg","gaze_duration","go_past_time","RegIn_excl","RegIn_incl","right_bounded_rt","total_duration"
"25","stim_verb","M","Match",8,"качался","R6",99,"174",0.764439915984075,0.119961015445273,-1.49123623590173,"e",NA,-0.5,0.5,0,0.666666666666667,-0.5,0,0.666666666666667,0,-0.666666666666667,0,-0.333333333333333,358,1,0,358,358,0,0,358,358
"30","stim_verb","F","Mis",0,"В","R1",1,"174",-1.49123623590173,NA,NA,"h",NA,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,300,1,0,300,300,0,0,300,300
"30","stim_verb","F","Mis",1,"саду","R1",1,"174",-0.524517885093529,-1.49123623590173,NA,"h",NA,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,248,1,0,248,248,0,0,248,248
"30","stim_verb","F","Mis",3,"вишня","R3",1,"174",-0.202278434824128,0.119961015445273,-0.524517885093529,"h",0.93,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,259,1,0,259,259,0,0,259,259
"30","stim_verb","F","Mis",6,"несмотря","R5",1,"174",0.764439915984075,0.764439915984075,-1.16899678563233,"h",NA,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,250,1,0,250,250,0,0,250,250
"32","stim_verb","M","Mis",1,"дому","R1",1,"174",-0.524517885093529,-1.49123623590173,NA,"b",NA,0.5,0.5,0,0.666666666666667,0.5,0,0.666666666666667,0,0.666666666666667,0,0.333333333333333,401,1,0,401,401,0,0,401,401
"32","stim_verb","M","Mis",2,"подъехала","R2",1,"174",1.08667936625348,-0.524517885093529,-1.49123623590173,"b",0.509202522331103,0.5,0.5,0,0.666666666666667,0.5,0,0.666666666666667,0,0.666666666666667,0,0.333333333333333,363,1,0,363,363,0,0,363,363
"32","stim_verb","M","Mis",3,"трактор","R3",1,"174",0.442200465714674,1.08667936625348,-0.524517885093529,"b",1.38,0.5,0.5,0,0.666666666666667,0.5,0,0.666666666666667,0,0.666666666666667,0,0.333333333333333,226,1,0,226,226,0,0,226,226
"32","stim_verb","M","Mis",6,"стеклами","R5",1,"174",0.764439915984075,0.764439915984075,-1.49123623590173,"b",1.03702787975578,0.5,0.5,0,0.666666666666667,0.5,0,0.666666666666667,0,0.666666666666667,0,0.333333333333333,217,1,0,217,217,0,0,217,217
"34","stim_verb","F","Mis",1,"полки","R1",1,"174",-0.202278434824128,-1.49123623590173,NA,"h",NA,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,400,1,0,400,400,0,0,400,400
"34","stim_verb","F","Mis",2,"упал","R2",1,"174",-0.524517885093529,-0.202278434824128,-1.49123623590173,"h",1.69311111546214,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,181,1,0,181,181,0,0,181,181
"34","stim_verb","F","Mis",6,"коробкой","R5",1,"174",0.764439915984075,-1.49123623590173,0.119961015445273,"h",NA,0.5,-0.5,0,0.666666666666667,-0.5,0,-0.666666666666667,0,0.666666666666667,0,-0.333333333333333,353,1,0,353,353,0,0,353,353
"38","stim_pred_adj","F","Mis",1,"бабушки","R1",99,"174",0.442200465714674,-1.49123623590173,NA,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,246,1,0,246,246,0,0,246,246
"38","stim_pred_adj","F","Mis",3,"закуска","R3",99,"174",0.442200465714674,-0.202278434824128,0.442200465714674,"i",1.2,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,198,1,0,198,198,0,0,198,198
"38","stim_pred_adj","F","Mis",6,"нашу","R5",99,"174",-0.524517885093529,-0.84675733536293,-1.16899678563233,"i",1.82177546718346,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,258,1,0,258,258,0,0,258,258
"38","stim_pred_adj","F","Mis",7,"семью","R6",99,"174",0.119961015445273,-0.524517885093529,-0.84675733536293,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,236,1,0,236,236,0,0,236,236
"42","stim_pred_adj","F","Mis",0,"Дома","R1",99,"174",-0.524517885093529,NA,NA,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,533,1,0,533,533,0,0,533,533
"42","stim_pred_adj","F","Mis",1,"всегда","R1",99,"174",0.119961015445273,-0.524517885093529,NA,"i",2.78668045319665,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,367,1,0,367,367,0,0,367,367
"42","stim_pred_adj","F","Mis",2,"полезен","R2",99,"174",0.442200465714674,0.119961015445273,-0.524517885093529,"i",0.821513528404773,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,301,1,0,301,301,1,1,301,787
"42","stim_pred_adj","F","Mis",3,"машинка","R3",99,"174",0.442200465714674,0.442200465714674,0.119961015445273,"i",1.4,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,260,1,0,260,260,1,1,260,1421
"42","stim_pred_adj","F","Mis",5,"заготовки","R4",99,"174",1.08667936625348,-0.84675733536293,0.442200465714674,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,233,1,0,233,233,0,0,233,233
"42","stim_pred_adj","F","Mis",6,"фруктов","R5",99,"174",0.442200465714674,1.08667936625348,-0.84675733536293,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,309,1,0,309,309,0,0,309,309
