"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0239569837501683","0.0271974539711943","764.062699856214","0.880853912853088","0.378673882115056"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0330181849740778","0.0271974539711943","764.062699857276","1.21401749623507","0.225116149422528"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0213471157446525","0.0270836335176474","761.764502317918","0.788192460614377","0.430829338286405"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0116393075715095","0.0270836335176474","761.764502317917","0.429754285514366","0.667495923524937"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0437295981418477","0.0257667546725497","760.564513546069","1.69713255307369","0.0900807285115192"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0344428024655579","0.0257667546725497","760.564513546069","1.33671480569693","0.181715455200762"
"motr","gaze_duration","36","24","Gram_x_Synt","-0.0499125187403801","0.0274115732223756","765.569464649703","-1.82085567783601","0.069019025839557"
"motr","gaze_duration","36","24","Gram_x_Lex","0.110489842614584","0.0274115732223756","765.56946465075","4.03077348819925","6.11513282686166e-05"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0428153202225383","0.027808664764775","740.001990202455","1.53963955424325","0.124075713094681"
"motr","gaze_duration","36","24","Gram_x_Lex","0.00123251686286508","0.027808664764775","740.00199020845","0.0443213247845792","0.964660230374951"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0344652193627496","0.0284232936399111","736.879380777667","1.21256951426468","0.225683055700007"
"motr","gaze_duration","36","24","Gram_x_Lex","0.00250437884158391","0.0284232936399111","736.879380777667","0.0881100858088923","0.929813119346057"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0021256467352424","0.0269499543214736","761.31163360618","0.0788738529901215","0.937153687009275"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0431965327703007","0.0269499543214736","761.311633606179","1.60284252266365","0.109384207322444"
