"measure","beta","bval_mean","crI_95_lower","crI_95_upper","crl_89_lower","crl_89_upper","hpdi_95_lower","hpdi_95_upper","hpdi_89_lower","hpdi_89_upper","bval_median"
"gaze_duration","b_0",423.875195308243,381.764037345716,468.425136388319,389.140577007044,459.714446232266,382.581085292548,469.300990908828,386.882957516803,456.779157741633,423.7103960385
"gaze_duration","b_Gram",46.8089086946038,13.2759981035572,80.4981477325504,19.6868957513363,73.9147496510384,11.9916629806517,79.0329340460394,20.2146069993379,74.2837112657554,46.7262563270678
"gaze_duration","b_Gen",-7.23701113305615,-28.1724634711913,14.2772607261114,-24.3123564717608,10.2716586276571,-28.5345999794935,13.7982357267998,-25.0578108713744,9.21729382071146,-7.11934881590787
"gaze_duration","b_TypL",46.2791007457244,-24.0619502864153,111.332398763134,-9.34277477529659,99.0743911320335,-20.9389589335805,114.268404296918,-6.68992113445461,101.35570588525,47.220509940519
"gaze_duration","b_TypS",-53.0476175274149,-117.560616256163,16.0412392692074,-104.500350026451,0.888124582069634,-120.520985341594,11.8815734980476,-105.291672587941,-0.261168641800225,-54.0691520549344
"gaze_duration","b_Gram_x_TypL",-18.4871369764328,-51.3406080506497,12.8003401743553,-44.4256190309137,6.79887471210812,-51.843619890338,12.042015329744,-43.256810841124,7.6299035762072,-18.4042864231926
"gaze_duration","b_Gram_x_TypS",19.3352844956195,-13.8056848612148,54.3574852020692,-7.82529537593907,47.138807377441,-13.1135575468675,54.8503907609241,-7.5457087152318,47.4125875672439,18.9290351908978
"gaze_duration","b_Gram_x_Gen_x_TypL",16.4329297759847,-11.3212149963048,46.728110432758,-6.16790687742074,40.4928055428868,-11.5247021155465,46.2304474061987,-7.33100472123851,38.9023317434848,16.0977814618822
"gaze_duration","b_Gram_x_Gen_x_TypS",-1.96179324112245,-31.4151911480991,24.8007122535378,-25.124221117798,19.8848907770732,-31.4224698441408,24.7887516792084,-23.2054938892749,21.5663525647531,-1.59635567356315
"go_past_time","b_0",459.491833065874,417.073569777269,504.207078322046,424.796578595034,495.438541388458,416.893013366848,503.739997154428,425.032547931562,495.603510791996,459.084073732576
"go_past_time","b_Gram",83.6329932429598,41.1520333031982,126.523311987337,49.6133935715662,118.004914785238,40.9792136301684,126.103348910566,49.0193083172456,117.341739211112,83.5163034664311
"go_past_time","b_Gen",-5.12515421458351,-33.9668221301354,22.4053594994836,-28.2634126164006,17.3292614581849,-34.1433690801393,22.183834018775,-25.9791581002693,19.2296638642879,-5.03715498801122
"go_past_time","b_TypL",68.7240782585474,1.99484521453173,131.768663598061,15.167451243859,118.26637396701,6.30295380164625,136.021803220964,14.857668527567,117.68107781651,69.5925200196222
"go_past_time","b_TypS",-80.3554811952662,-142.173962286254,-14.9894586412422,-129.422661017654,-28.5973255984788,-145.624515097831,-18.892954797716,-129.640364740352,-29.196239845353,-80.5240821404878
"go_past_time","b_Gram_x_TypL",-18.8661083948264,-58.0022344445709,20.0280018921092,-50.4720041517007,11.6343840605863,-57.8589967682328,20.0935583366747,-51.05148056742,10.8137998102515,-18.5048166096815
"go_past_time","b_Gram_x_TypS",31.3154181989073,-7.80771432179166,72.6283924856465,-0.298015181316436,64.4126668173862,-8.94047683010939,71.3945514200739,-1.18775529730584,63.3815934858095,31.2246815089289
