"subj_id","mean_correctness","sd_correctness","count"
"19",1,0,37
"20",0.864864864864865,0.346583496606691,37
"russ01",1,0,37
"russ02",0.918918918918919,0.27672473069203,37
"russ03",0.918918918918919,0.27672473069203,37
"russ04",0.945945945945946,0.229243435135126,37
"russ05",0.810810810810811,0.397061276955658,37
"russ06",0.918918918918919,0.27672473069203,37
"russ07",1,0,37
"russ08",0.945945945945946,0.229243435135126,37
"russ09",0.918918918918919,0.27672473069203,37
"russ10",0.945945945945946,0.229243435135126,37
"russ11",1,0,37
"russ12",0.837837837837838,0.373683876611822,37
"russ13",0.972972972972973,0.164398987305357,37
"russ14",0.972222222222222,0.166666666666667,36
"russ15",1,0,37
"russ16",1,0,37
"russ17",0.918918918918919,0.27672473069203,37
"russ18",1,0,37
"russ21",0.837837837837838,0.373683876611822,37
"russ22",0.945945945945946,0.229243435135126,37
"russ23",0.945945945945946,0.229243435135126,37
"russ24",1,0,37
"russ26",0.972972972972973,0.164398987305357,37
"russ27",0.864864864864865,0.346583496606691,37
"russ28",0.918918918918919,0.27672473069203,37
"russ29",0.918918918918919,0.27672473069203,37
"russ30",1,0,37
"russ31",0.972972972972973,0.164398987305357,37
"russ32",0.945945945945946,0.229243435135126,37
"russ33",0.891891891891892,0.314800093867678,37
"russ35",0.972972972972973,0.164398987305357,37
"russ36",0.945945945945946,0.229243435135125,37
"russ37",0.810810810810811,0.397061276955658,37
"russ38",0.864864864864865,0.346583496606691,37
"russ39",0.918918918918919,0.27672473069203,37
"russ40",0.972972972972973,0.164398987305357,37
"russ41",0.891891891891892,0.314800093867678,37
