"method","region","measure","beta","bval","pval","sig"
"motr","R3","go_past_time","b_Gram_x_Synt",-0.048072061966361,0.0841332760467868,"."
"motr","R3","go_past_time","b_Gram_x_Gen_x_Lex",0.0145501958628791,0.799160080143668,""
"motr","R3","go_past_time","b_Gram_x_Gen_x_Synt",-0.0879846191538595,0.120061722741266,""
"motr","R3","total_duration","b_0",6.18881720375096,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000507665287658677,"SIG"
"motr","R3","total_duration","b_Gram",0.183493462364111,0.0000000114965735018143,"SIG"
"motr","R3","total_duration","b_Gen",-0.0015203667859564,0.952126115240322,""
"motr","R3","total_duration","b_Lex",0.09916084702192,0.092428203313149,"."
"motr","R3","total_duration","b_Synt",0.138301038967031,0.0222083117121426,"SIG"
"motr","R3","total_duration","b_Gram_x_Lex",-0.0101248225830815,0.702390496934014,""
"motr","R3","total_duration","b_Gram_x_Synt",-0.0359185669392041,0.17271807618304,""
"motr","R3","total_duration","b_Gram_x_Gen_x_Lex",0.0648190449968523,0.230805771464836,""
"motr","R3","total_duration","b_Gram_x_Gen_x_Synt",-0.133355508529945,0.0130717378490331,"SIG"
"motr","R3","FPReg","b_0",-2.68902802241381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000768942619788946,"SIG"
"motr","R3","FPReg","b_Gram",0.334455399084159,0.000183197789339541,"SIG"
"motr","R3","FPReg","b_Gen",0.14341090067228,0.100400341017653,""
"motr","R3","FPReg","b_Lex",0.0418084004943268,0.740165509526411,""
"motr","R3","FPReg","b_Synt",0.08330813780628,0.512600797140403,""
"motr","R3","FPReg","b_Gram_x_Lex",0.126673736311287,0.167244310130808,""
"motr","R3","FPReg","b_Gram_x_Synt",-0.141767311514388,0.129143568515952,""
"motr","R3","FPReg","b_Gram_x_Gen_x_Lex",0.20397520556501,0.274936483663502,""
"motr","R3","FPReg","b_Gram_x_Gen_x_Synt",-0.299076032069745,0.112325838501616,""
"motr","R3","RegIn_incl","b_0",-2.20650353638484,0.000000000000000000000000000000000000000000000314339606102703,"SIG"
"motr","R3","RegIn_incl","b_Gram",0.276390004725404,0.0000859915571766882,"SIG"
"motr","R3","RegIn_incl","b_Gen",0.175405827065254,0.0125577794472365,"SIG"
"motr","R3","RegIn_incl","b_Lex",0.0973109013599481,0.650336106638883,""
"motr","R3","RegIn_incl","b_Synt",0.173196394733886,0.420693431344317,""
"motr","R3","RegIn_incl","b_Gram_x_Lex",0.119141844548707,0.0970607542907533,"."
"motr","R3","RegIn_incl","b_Gram_x_Synt",-0.11199104368394,0.127878776351575,""
"motr","R3","RegIn_incl","b_Gram_x_Gen_x_Lex",0.28522613318176,0.0586434948275445,"."
"motr","R3","RegIn_incl","b_Gram_x_Gen_x_Synt",-0.16463108396493,0.282646766293362,""
"motr","R4","gaze_duration","b_0",5.96861056643303,0.00000000000000000000000000000000000000000000000000000000000000000000000045298451375488,"SIG"
"motr","R4","gaze_duration","b_Gram",0.0345392099337633,0.133662765359118,""
"motr","R4","gaze_duration","b_Gen",0.00110451577571404,0.95929772539747,""
"motr","R4","gaze_duration","b_Lex",-0.0791573510619767,0.303859584895956,""
"motr","R4","gaze_duration","b_Synt",0.166205586359353,0.0379271161569618,"SIG"
"motr","R4","gaze_duration","b_Gram_x_Lex",0.00486125208113088,0.824665159147034,""
"motr","R4","gaze_duration","b_Gram_x_Synt",-0.0157656593787741,0.487866765697374,""
"motr","R4","gaze_duration","b_Gram_x_Gen_x_Lex",-0.0266717474101226,0.552852014151394,""
"motr","R4","gaze_duration","b_Gram_x_Gen_x_Synt",0.000917499842080838,0.984218443344922,""
"motr","R4","go_past_time","b_0",6.02522761100048,0.00000000000000000000000000000000000000000000000000000000000000000000736539588689829,"SIG"
"motr","R4","go_past_time","b_Gram",0.0592622299171552,0.0402918677848403,"SIG"
"motr","R4","go_past_time","b_Gen",-0.00650219627298895,0.796020794403532,""
"motr","R4","go_past_time","b_Lex",-0.0848172553269902,0.298983432618298,""
"motr","R4","go_past_time","b_Synt",0.168363059579101,0.0467208251578666,"SIG"
"motr","R4","go_past_time","b_Gram_x_Lex",-0.00335007245523335,0.895456898934711,""
"motr","R4","go_past_time","b_Gram_x_Synt",-0.0162647188415189,0.538040636108138,""
"motr","R4","go_past_time","b_Gram_x_Gen_x_Lex",-0.058092893897845,0.265306087653245,""
"motr","R4","go_past_time","b_Gram_x_Gen_x_Synt",0.0172796022632661,0.748573884964832,""
"motr","R4","total_duration","b_0",6.03516676721183,0.00000000000000000000000000000000000000000000000000000000000000000000125811842449436,"SIG"
"motr","R4","total_duration","b_Gram",0.0501797450239779,0.0721302095666253,"."
"motr","R4","total_duration","b_Gen",0.00214862621995616,0.929142829851556,""
"motr","R4","total_duration","b_Lex",-0.080449864731709,0.338799955450397,""
"motr","R4","total_duration","b_Synt",0.155350123266174,0.0727524618670779,"."
"motr","R4","total_duration","b_Gram_x_Lex",0.0237279491996286,0.330586987428632,""
"motr","R4","total_duration","b_Gram_x_Synt",-0.0189643187107858,0.452146568419947,""
"motr","R4","total_duration","b_Gram_x_Gen_x_Lex",-0.0459199558781685,0.358132673689876,""
"motr","R4","total_duration","b_Gram_x_Gen_x_Synt",0.0231177127831826,0.654706308766118,""
"motr","R4","FPReg","b_0",-2.68902802241381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000768942619788946,"SIG"
"motr","R4","FPReg","b_Gram",0.334455399084159,0.000183197789339541,"SIG"
"motr","R4","FPReg","b_Gen",0.14341090067228,0.100400341017653,""
"motr","R4","FPReg","b_Lex",0.0418084004943268,0.740165509526411,""
"motr","R4","FPReg","b_Synt",0.08330813780628,0.512600797140403,""
"motr","R4","FPReg","b_Gram_x_Lex",0.126673736311287,0.167244310130808,""
"motr","R4","FPReg","b_Gram_x_Synt",-0.141767311514388,0.129143568515952,""
"motr","R4","FPReg","b_Gram_x_Gen_x_Lex",0.20397520556501,0.274936483663502,""
"motr","R4","FPReg","b_Gram_x_Gen_x_Synt",-0.299076032069745,0.112325838501616,""
"motr","R4","RegIn_incl","b_0",-2.20650353638484,0.000000000000000000000000000000000000000000000314339606102703,"SIG"
"motr","R4","RegIn_incl","b_Gram",0.276390004725404,0.0000859915571766882,"SIG"
"motr","R4","RegIn_incl","b_Gen",0.175405827065254,0.0125577794472365,"SIG"
"motr","R4","RegIn_incl","b_Lex",0.0973109013599481,0.650336106638883,""
"motr","R4","RegIn_incl","b_Synt",0.173196394733886,0.420693431344317,""
"motr","R4","RegIn_incl","b_Gram_x_Lex",0.119141844548707,0.0970607542907533,"."
"motr","R4","RegIn_incl","b_Gram_x_Synt",-0.11199104368394,0.127878776351575,""
"motr","R4","RegIn_incl","b_Gram_x_Gen_x_Lex",0.28522613318176,0.0586434948275445,"."
"motr","R4","RegIn_incl","b_Gram_x_Gen_x_Synt",-0.16463108396493,0.282646766293362,""
"motr","R5","gaze_duration","b_0",5.9626082988875,0.00000000000000000000000000000000000000000000000000000108004795080824,"SIG"
"motr","R5","gaze_duration","b_Gram",-0.044848462599287,0.0519781653908511,"."
"motr","R5","gaze_duration","b_Gen",0.0452178360469759,0.0352482666083062,"SIG"
"motr","R5","gaze_duration","b_Lex",-0.0182202576133079,0.853680141923602,""
"motr","R5","gaze_duration","b_Synt",0.144688613632816,0.166585050328413,""
"motr","R5","gaze_duration","b_Gram_x_Lex",-0.00563762559211645,0.794488596162877,""
"motr","R5","gaze_duration","b_Gram_x_Synt",-0.0249959147168776,0.288256569328325,""
"motr","R5","gaze_duration","b_Gram_x_Gen_x_Lex",0.119361366221854,0.00707816438230807,"SIG"
"motr","R5","gaze_duration","b_Gram_x_Gen_x_Synt",0.00010029345709639,0.998330198926825,""
"motr","R5","go_past_time","b_0",6.0100104572807,0.000000000000000000000000000000000000000000000000113309948032097,"SIG"
"motr","R5","go_past_time","b_Gram",-0.0438653159775646,0.0991699068078686,"."
"motr","R5","go_past_time","b_Gen",0.0808840123695021,0.00086159388329276,"SIG"
"motr","R5","go_past_time","b_Lex",-0.00671595049155648,0.949514335275197,""
"motr","R5","go_past_time","b_Synt",0.138342457938496,0.216217126688729,""
"motr","R5","go_past_time","b_Gram_x_Lex",0.0114303153428711,0.639844172596616,""
"motr","R5","go_past_time","b_Gram_x_Synt",-0.0467205287956766,0.0787712091601907,"."
"motr","R5","go_past_time","b_Gram_x_Gen_x_Lex",0.159325854552934,0.00144430486198873,"SIG"
"motr","R5","go_past_time","b_Gram_x_Gen_x_Synt",-0.0393061514978715,0.467430981688752,""
"motr","R5","total_duration","b_0",6.04613072146183,0.00000000000000000000000000000000000000000000000000000287053699323785,"SIG"
"motr","R5","total_duration","b_Gram",-0.0317281556208694,0.273417578520459,""
"motr","R5","total_duration","b_Gen",0.0508911192459447,0.0347224647544235,"SIG"
"motr","R5","total_duration","b_Lex",0.00214691733686443,0.983575970212666,""
"motr","R5","total_duration","b_Synt",0.145216767981026,0.187886212504559,""
"motr","R5","total_duration","b_Gram_x_Lex",0.0199159890241822,0.411447535827942,""
"motr","R5","total_duration","b_Gram_x_Synt",-0.0504502897784363,0.0558781804093444,"."
"motr","R5","total_duration","b_Gram_x_Gen_x_Lex",0.109888366186584,0.0266381446828374,"SIG"
"motr","R5","total_duration","b_Gram_x_Gen_x_Synt",-0.0327898913426677,0.543313651480978,""
"motr","R5","FPReg","b_0",-2.68902802241381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000768942619788946,"SIG"
"motr","R5","FPReg","b_Gram",0.334455399084159,0.000183197789339541,"SIG"
"motr","R5","FPReg","b_Gen",0.14341090067228,0.100400341017653,""
"motr","R5","FPReg","b_Lex",0.0418084004943268,0.740165509526411,""
"motr","R5","FPReg","b_Synt",0.08330813780628,0.512600797140403,""
"motr","R5","FPReg","b_Gram_x_Lex",0.126673736311287,0.167244310130808,""
"motr","R5","FPReg","b_Gram_x_Synt",-0.141767311514388,0.129143568515952,""
"motr","R5","FPReg","b_Gram_x_Gen_x_Lex",0.20397520556501,0.274936483663502,""
"motr","R5","FPReg","b_Gram_x_Gen_x_Synt",-0.299076032069745,0.112325838501616,""
"motr","R5","RegIn_incl","b_0",-2.20650353638484,0.000000000000000000000000000000000000000000000314339606102703,"SIG"
"motr","R5","RegIn_incl","b_Gram",0.276390004725404,0.0000859915571766882,"SIG"
"motr","R5","RegIn_incl","b_Gen",0.175405827065254,0.0125577794472365,"SIG"
"motr","R5","RegIn_incl","b_Lex",0.0973109013599481,0.650336106638883,""
"motr","R5","RegIn_incl","b_Synt",0.173196394733886,0.420693431344317,""
"motr","R5","RegIn_incl","b_Gram_x_Lex",0.119141844548707,0.0970607542907533,"."
"motr","R5","RegIn_incl","b_Gram_x_Synt",-0.11199104368394,0.127878776351575,""
"motr","R5","RegIn_incl","b_Gram_x_Gen_x_Lex",0.28522613318176,0.0586434948275445,"."
"motr","R5","RegIn_incl","b_Gram_x_Gen_x_Synt",-0.16463108396493,0.282646766293362,""
"et","R2","gaze_duration","b_0",5.57320312451363,0.000000000000000000000000000000000000000000000000000000000000000000222462498236929,"SIG"
"et","R2","gaze_duration","b_Gram",-0.0183959947532127,0.329412553631041,""
"et","R2","gaze_duration","b_Gen",-0.0109955678126868,0.559018817313419,""
"et","R2","gaze_duration","b_Lex",0.0558970553615947,0.146606138275297,""
"et","R2","gaze_duration","b_Synt",-0.0165661232730383,0.663493942492968,""
"et","R2","gaze_duration","b_Gram_x_Lex",-0.000510507384650246,0.979641363013212,""
"et","R2","gaze_duration","b_Gram_x_Synt",0.00424295640701574,0.831438585771712,""
"et","R2","gaze_duration","b_Gram_x_Gen_x_Lex",0.0329033119828872,0.411030925845551,""
"et","R2","gaze_duration","b_Gram_x_Gen_x_Synt",0.0112426744751707,0.777966071806022,""
"et","R2","go_past_time","b_0",5.71539639304317,0.000000000000000000000000000000000000000000000000000000000000000000000000000527058055039942,"SIG"
"et","R2","go_past_time","b_Gram",-0.012178759649134,0.502066655280141,""
"et","R2","go_past_time","b_Gen",0.00264753966025799,0.882113878312842,""
"et","R2","go_past_time","b_Lex",0.0530826010603757,0.257163308242539,""
"et","R2","go_past_time","b_Synt",-0.0112073814493421,0.809615090960184,""
"et","R2","go_past_time","b_Gram_x_Lex",-0.0180435237257387,0.341747939970704,""
"et","R2","go_past_time","b_Gram_x_Synt",-0.00283420141123964,0.880952713176142,""
"et","R2","go_past_time","b_Gram_x_Gen_x_Lex",0.0148238870233069,0.696173621757926,""
"et","R2","go_past_time","b_Gram_x_Gen_x_Synt",0.0371172634156532,0.326821692964579,""
"et","R2","total_duration","b_0",6.02875436509377,0.0000000000000000000000000000000000000000000000000000000000000000000000025510220848134,"SIG"
"et","R2","total_duration","b_Gram",0.125687288223274,0.000000181342300762843,"SIG"
"et","R2","total_duration","b_Gen",-0.017318371406546,0.44168589656276,""
"et","R2","total_duration","b_Lex",0.167308401776038,0.00190096229093895,"SIG"
"et","R2","total_duration","b_Synt",0.0205882055471768,0.686832929985885,""
"et","R2","total_duration","b_Gram_x_Lex",-0.00867813091664919,0.715431194795354,""
"et","R2","total_duration","b_Gram_x_Synt",-0.00395143043659365,0.867649647676103,""
"et","R2","total_duration","b_Gram_x_Gen_x_Lex",0.0476638566842117,0.317093619975459,""
"et","R2","total_duration","b_Gram_x_Gen_x_Synt",-0.0407247165566905,0.390296844963314,""
"et","R2","FPReg","b_0",-1.62793372961457,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063182894123547,"SIG"
"et","R2","FPReg","b_Gram",0.416200032167143,0.0000000000954987445130255,"SIG"
"et","R2","FPReg","b_Gen",0.00597887222726235,0.924548044826077,""
"et","R2","FPReg","b_Lex",0.314915752156682,0.00463512706840587,"SIG"
"et","R2","FPReg","b_Synt",0.0781184904386057,0.477838525969897,""
"et","R2","FPReg","b_Gram_x_Lex",-0.0807287939668744,0.251771857079757,""
"et","R2","FPReg","b_Gram_x_Synt",-0.0105680037073022,0.877780428067835,""
"et","R2","FPReg","b_Gram_x_Gen_x_Lex",0.0609449902723877,0.660231967716738,""
"et","R2","FPReg","b_Gram_x_Gen_x_Synt",-0.114455563415573,0.400503390962031,""
"et","R2","RegIn_incl","b_0",-1.32899781587852,0.00000000000000000000000000000000000000000000000323111517883005,"SIG"
"et","R2","RegIn_incl","b_Gram",0.401397975839695,0.00000000000678550845309829,"SIG"
"et","R2","RegIn_incl","b_Gen",-0.0597912819777314,0.302557028881761,""
"et","R2","RegIn_incl","b_Lex",0.240923789868774,0.0260229434611523,"SIG"
"et","R2","RegIn_incl","b_Synt",0.126819007660496,0.240167995664507,""
"et","R2","RegIn_incl","b_Gram_x_Lex",0.0154559480247435,0.806612527200612,""
"et","R2","RegIn_incl","b_Gram_x_Synt",-0.0308026771252967,0.622960293959622,""
