list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,AOI_id,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,0,У,R1,нет,нет,1.0,290.0,290.0,290.0,290.0,290.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,1,бабушки,R1,нет,нет,1.0,184.0,184.0,184.0,184.0,184.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,2,старый,R2,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,3,духовка,R3,нет,нет,1.0,467.0,467.0,467.0,467.0,467.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,4,уже,R4,нет,нет,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,5,год,R4,нет,нет,1.0,173.0,173.0,173.0,173.0,173.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,6,плохо,R5,нет,нет,1.0,173.0,173.0,173.0,173.0,173.0,1.0,0.0,0,0
1,adjectives,4,b,stim_adj,1,F,Mis,0,0,Inanim,7,работает.,R6,нет,нет,1.0,302.0,302.0,302.0,302.0,302.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,0,На,R1,нет,нет,1.0,479.0,479.0,479.0,479.0,479.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,1,стене,R1,нет,нет,1.0,297.0,297.0,297.0,297.0,297.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,2,рваная,R2,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,3,газета,R3,нет,нет,1.0,283.0,283.0,283.0,283.0,283.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,4,давно,R4,нет,нет,1.0,304.0,304.0,304.0,304.0,304.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,5,еле-еле,R5,нет,нет,1.0,247.0,247.0,247.0,247.0,247.0,1.0,0.0,0,0
1,adjectives,5,c,stim_adj,1,F,Match,0,0,Inanim,6,держится.,R6,нет,нет,1.0,348.0,348.0,348.0,348.0,348.0,1.0,0.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,0,В,R1,нет,да,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,1,комнате,R1,нет,да,0.0,354.0,354.0,354.0,354.0,354.0,1.0,0.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,2,странная,R2,нет,да,0.0,495.0,844.0,495.0,495.0,495.0,1.0,0.0,1,1
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,3,пакет,R3,нет,да,0.0,246.0,246.0,246.0,246.0,246.0,1.0,0.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,4,в,R4,нет,да,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,5,углу,R4,нет,да,0.0,240.0,240.0,240.0,240.0,240.0,1.0,0.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,6,привлекает,R5,нет,да,0.0,600.0,600.0,600.0,600.0,949.0,1.0,1.0,0,0
1,adjectives,6,d,stim_adj,1,M,Mis,0,0,Inanim,7,внимание.,R6,нет,да,0.0,3708.0,3708.0,3708.0,3708.0,3708.0,1.0,0.0,0,0
1,adjectives,7,a,stim_adj,1,M,Match,0,0,Inanim,0,В,R1,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,adjectives,7,a,stim_adj,1,M,Match,0,0,Inanim,1,холодильнике,R1,Да,Да,1.0,237.0,237.0,237.0,237.0,237.0,1.0,0.0,0,0
