list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,AOI_id,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,0,У,R1,нет,нет,1.0,503.0,503.0,503.0,503.0,503.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,1,бабушки,R1,нет,нет,1.0,442.0,442.0,442.0,442.0,442.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,2,старая,R2,нет,нет,1.0,377.0,377.0,377.0,377.0,377.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,3,пылесос,R3,нет,нет,1.0,626.0,626.0,626.0,626.0,626.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,4,уже,R4,нет,нет,1.0,498.0,498.0,498.0,498.0,498.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,5,год,R4,нет,нет,1.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,6,плохо,R5,нет,нет,1.0,689.0,689.0,689.0,689.0,689.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,7,работает.,R6,нет,нет,1.0,3611.0,3611.0,3611.0,3611.0,3611.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,0,На,R1,нет,нет,1.0,630.0,630.0,630.0,630.0,630.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,1,стене,R1,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,2,рваный,R2,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,3,плакат,R3,нет,нет,1.0,624.0,874.0,624.0,624.0,624.0,1.0,0.0,1,1
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,4,давно,R4,нет,нет,1.0,438.0,438.0,438.0,438.0,688.0,1.0,1.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,5,еле-еле,R5,нет,нет,1.0,819.0,819.0,819.0,819.0,819.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,6,держится.,R6,нет,нет,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,0,В,R1,нет,да,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,1,комнате,R1,нет,да,0.0,508.0,508.0,508.0,508.0,508.0,1.0,0.0,0,0
