list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,0,У,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,1,бабушки,нет,нет,1.0,449.0,449.0,449.0,449.0,449.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,2,старая,нет,нет,1.0,195.0,195.0,195.0,195.0,195.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,3,духовка,нет,нет,1.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,4,уже,нет,нет,1.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,5,год,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,6,плохо,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,7,работает.,нет,нет,1.0,449.0,449.0,449.0,449.0,749.0,1.0,1.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,0,На,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,1,стене,нет,нет,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,2,рваная,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,3,плакат,нет,нет,1.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,4,давно,нет,нет,1.0,489.0,489.0,489.0,489.0,489.0,1.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,5,еле-еле,нет,нет,1.0,361.0,361.0,361.0,361.0,361.0,1.0,0.0
