list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,AOI_id,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,0,У,R1,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,1,бабушки,R1,нет,нет,1.0,993.0,993.0,993.0,993.0,993.0,1.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,2,старая,R2,нет,нет,1.0,813.0,813.0,813.0,813.0,813.0,1.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,3,духовка,R3,нет,нет,1.0,995.0,995.0,995.0,995.0,995.0,1.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,4,уже,R4,нет,нет,1.0,438.0,438.0,438.0,438.0,438.0,1.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,5,год,R4,нет,нет,1.0,185.0,185.0,185.0,185.0,185.0,1.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,6,плохо,R5,нет,нет,1.0,927.0,927.0,927.0,927.0,927.0,1.0,0.0,0,0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,7,работает.,R6,нет,нет,1.0,3714.0,3714.0,3714.0,3714.0,3714.0,1.0,0.0,0,0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,0,На,R1,нет,нет,1.0,746.0,746.0,746.0,746.0,746.0,1.0,0.0,0,0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,1,стене,R1,нет,нет,1.0,629.0,629.0,629.0,629.0,629.0,1.0,0.0,0,0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,2,рваная,R2,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,3,плакат,R3,нет,нет,1.0,2054.0,2054.0,2054.0,2054.0,2054.0,1.0,0.0,0,0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,4,давно,R4,нет,нет,1.0,1064.0,1064.0,1064.0,1064.0,1064.0,1.0,0.0,0,0
