list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,AOI_id,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,0,У,R1,нет,нет,1.0,457.0,457.0,0.0,0.0,0.0,0.0,0.0,0,1
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,1,бабушки,R1,нет,нет,1.0,258.0,616.0,258.0,616.0,1073.0,1.0,1.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,2,старая,R2,нет,нет,1.0,578.0,578.0,578.0,578.0,578.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,3,пылесос,R3,нет,нет,1.0,634.0,634.0,634.0,634.0,634.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,4,уже,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,5,год,R4,нет,нет,1.0,303.0,303.0,303.0,303.0,303.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,6,плохо,R5,нет,нет,1.0,269.0,269.0,269.0,269.0,269.0,1.0,0.0,0,0
3,adjectives,4,d,stim_adj,1,M,Mis,0,0,Inanim,7,работает.,R6,нет,нет,1.0,316.0,316.0,316.0,316.0,316.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,0,На,R1,нет,нет,1.0,521.0,521.0,521.0,521.0,521.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,1,стене,R1,нет,нет,1.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,2,рваный,R2,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,3,плакат,R3,нет,нет,1.0,206.0,206.0,206.0,206.0,206.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,4,давно,R4,нет,нет,1.0,612.0,612.0,612.0,612.0,612.0,1.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,5,еле-еле,R5,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,5,a,stim_adj,1,M,Match,0,0,Inanim,6,держится.,R6,нет,нет,1.0,413.0,413.0,413.0,413.0,413.0,1.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,0,В,R1,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,1,комнате,R1,нет,нет,1.0,201.0,560.0,201.0,560.0,560.0,1.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,2,странный,R2,нет,нет,1.0,667.0,667.0,667.0,667.0,667.0,1.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,3,сумка,R3,нет,нет,1.0,369.0,369.0,369.0,369.0,369.0,1.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,4,в,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,5,углу,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,6,привлекает,R5,нет,нет,1.0,469.0,469.0,469.0,469.0,469.0,1.0,0.0,0,0
3,adjectives,6,b,stim_adj,1,F,Mis,0,0,Inanim,7,внимание.,R6,нет,нет,1.0,304.0,304.0,304.0,304.0,304.0,1.0,0.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,0,В,R1,Да,Да,1.0,263.0,263.0,263.0,263.0,263.0,1.0,0.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,1,холодильнике,R1,Да,Да,1.0,575.0,575.0,575.0,575.0,575.0,1.0,0.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,2,готовая,R2,Да,Да,1.0,570.0,1250.0,570.0,570.0,570.0,1.0,0.0,1,1
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,3,колбаса,R3,Да,Да,1.0,204.0,517.0,204.0,204.0,204.0,1.0,0.0,1,1
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,4,из,R4,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,5,Испании,R4,Да,Да,1.0,206.0,206.0,206.0,206.0,206.0,1.0,0.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,6,или,R5,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,7,из,R5,Да,Да,1.0,426.0,426.0,426.0,426.0,1419.0,1.0,1.0,0,0
3,adjectives,7,c,stim_adj,1,F,Match,0,0,Inanim,8,Италии.,R6,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,0,На,R1,да,да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,1,реке,R1,да,да,1.0,610.0,610.0,610.0,610.0,610.0,1.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,2,ржавый,R2,да,да,1.0,731.0,731.0,731.0,731.0,731.0,1.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,3,катер,R3,да,да,1.0,466.0,466.0,466.0,466.0,466.0,1.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,4,вечером,R4,да,да,1.0,366.0,366.0,366.0,366.0,366.0,1.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,5,сильно,R5,да,да,1.0,420.0,420.0,420.0,420.0,420.0,1.0,0.0,0,0
3,adjectives,9,a,stim_adj,1,M,Match,0,0,Inanim,6,тарахтит.,R6,да,да,1.0,511.0,511.0,511.0,511.0,511.0,1.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,0,В,R1,да,да,1.0,678.0,678.0,678.0,678.0,678.0,1.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,1,саду,R1,да,да,1.0,618.0,618.0,618.0,618.0,618.0,1.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,2,сладкий,R2,да,да,1.0,417.0,417.0,417.0,417.0,417.0,1.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,3,вишня,R3,да,да,1.0,720.0,720.0,720.0,720.0,720.0,1.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,4,уже,R4,да,да,1.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,5,скоро,R5,да,да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,adjectives,14,b,stim_adj,1,F,Mis,0,0,Inanim,6,созреет.,R6,да,да,1.0,370.0,370.0,370.0,370.0,370.0,1.0,0.0,0,0
3,adjectives,16,d,stim_adj,1,M,Mis,0,0,Inanim,0,На,R1,нет,нет,1.0,211.0,211.0,0.0,0.0,0.0,0.0,0.0,0,1
