list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,AOI_id,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,0,У,R1,нет,нет,1.0,960.0,960.0,960.0,960.0,960.0,1.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,1,бабушки,R1,нет,нет,1.0,603.0,603.0,603.0,603.0,603.0,1.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,2,старый,R2,нет,нет,1.0,2464.0,2464.0,2464.0,2464.0,2464.0,1.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,3,пылесос,R3,нет,нет,1.0,2779.0,2779.0,2779.0,2779.0,2779.0,1.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,4,уже,R4,нет,нет,1.0,2583.0,2583.0,2583.0,2583.0,2583.0,1.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,5,год,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,6,плохо,R5,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,adjectives,4,a,stim_adj,1,M,Match,0,0,Inanim,7,работает.,R6,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,0,В,R1,нет,нет,1.0,1095.0,1095.0,1095.0,1095.0,1095.0,1.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,1,комнате,R1,нет,нет,1.0,1433.0,1433.0,1433.0,1433.0,1433.0,1.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,2,странная,R2,нет,нет,1.0,2462.0,2462.0,2462.0,2462.0,2462.0,1.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,3,сумка,R3,нет,нет,1.0,987.0,987.0,987.0,987.0,987.0,1.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,4,в,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,5,углу,R4,нет,нет,1.0,1676.0,1676.0,1676.0,1676.0,1676.0,1.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,6,привлекает,R5,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,adjectives,6,c,stim_adj,1,F,Match,0,0,Inanim,7,внимание.,R6,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,0,К,R1,да,да,1.0,592.0,592.0,592.0,592.0,592.0,1.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,1,дому,R1,да,да,1.0,751.0,751.0,751.0,751.0,751.0,1.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,2,подъехал,R2,да,да,1.0,2009.0,2009.0,2009.0,2009.0,2009.0,1.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,3,трактор,R3,да,да,1.0,2492.0,2492.0,2492.0,2492.0,2492.0,1.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,4,с,R4,да,да,1.0,1305.0,1305.0,1305.0,1305.0,1305.0,1.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,5,выбитыми,R4,да,да,1.0,3093.0,3093.0,3093.0,3093.0,3093.0,1.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,6,стеклами,R5,да,да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,7,и,R6,да,да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,verbs,32,a,stim_verb,2,M,Match,0,0,Inanim,8,фарами.,R6,да,да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,0,Дома,R1,,%2c#,99.0,1228.0,1228.0,1228.0,1228.0,1228.0,1.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,1,всегда,R1,,%2c#,99.0,701.0,701.0,701.0,701.0,701.0,1.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,2,полезна,R2,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,3,машинка,R3,,%2c#,99.0,3903.0,3903.0,3903.0,3903.0,3903.0,1.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,4,для,R4,,%2c#,99.0,983.0,983.0,983.0,983.0,983.0,1.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,5,заготовки,R4,,%2c#,99.0,2369.0,2369.0,2369.0,2369.0,2369.0,1.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,6,фруктов,R5,,%2c#,99.0,1446.0,1446.0,1446.0,1446.0,1446.0,1.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,7,и,R5,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,42,c,stim_pred_adj,3,F,Match,0,0,inanim,8,овощей.,R6,,%2c#,99.0,816.0,816.0,816.0,816.0,816.0,1.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,0,В,R1,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,1,музее,R1,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,2,привлекательна,R2,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,3,комната,R3,,%2c#,99.0,395.0,395.0,395.0,395.0,395.0,1.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,4,научных,R4,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,5,экспериментов,R5,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,6,для,R6,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,46,c,stim_pred_adj,3,F,Match,0,0,inanim,7,детей.,R6,,%2c#,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,0,Совершенно,R1,нет,нет,1.0,2203.0,2203.0,2203.0,2203.0,2203.0,1.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,1,недопустима,R2,нет,нет,1.0,2639.0,2639.0,2639.0,2639.0,2639.0,1.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,2,беседа,R3,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,3,о,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,4,политике,R4,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,5,или,R5,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,6,деньгах,R5,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,7,на,R6,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,pred_adjectives,50,c,stim_pred_adj,3,F,Match,0,0,inanim,8,работе.,R6,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,0,Ученик,R1,Да,Да,1.0,1646.0,1646.0,1646.0,1646.0,1646.0,1.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,1,работает,R2,Да,Да,1.0,2035.0,2035.0,2035.0,2035.0,2035.0,1.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,2,в,R3,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,3,лаборатории,R3,Да,Да,1.0,2701.0,2701.0,2701.0,2701.0,2701.0,1.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,4,часто,R4,Да,Да,1.0,1110.0,1110.0,1110.0,1110.0,1110.0,1.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,5,и,R5,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,6,всегда,R5,Да,Да,1.0,1192.0,1192.0,1192.0,1192.0,1192.0,1.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,7,с,R6,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,8,удовольствием.,R6,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,0,Директор,R1,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,1,уходит,R2,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,2,на,R3,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,3,работу,R3,Да,Да,1.0,1689.0,1689.0,1689.0,1689.0,1689.0,1.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,4,рано,R4,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,5,и,R5,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
98,filler,66,0,filler_gram,5,Masc,0,108Y,Acc,0,6,остается,R5,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
