list,part,item_id,cond_id,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,word_nr,word,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,0,У,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,1,бабушки,нет,нет,1.0,748.0,947.0,748.0,947.0,947.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,2,старая,нет,нет,1.0,201.0,201.0,201.0,201.0,201.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,3,духовка,нет,нет,1.0,349.0,349.0,349.0,349.0,349.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,4,уже,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,5,год,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,6,плохо,нет,нет,1.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0
2,adjectives,4,c,stim_adj,1,F,Match,0,0,Inanim,7,работает.,нет,нет,1.0,349.0,349.0,349.0,349.0,349.0,1.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,0,На,нет,нет,1.0,752.0,1002.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,1,стене,нет,нет,1.0,299.0,1148.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,2,рваная,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,3,плакат,нет,нет,1.0,200.0,1149.0,200.0,400.0,2100.0,1.0,1.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,4,давно,нет,нет,1.0,501.0,901.0,501.0,501.0,501.0,1.0,0.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,5,еле-еле,нет,нет,1.0,249.0,698.0,249.0,249.0,549.0,1.0,1.0
2,adjectives,5,d,stim_adj,1,M,Mis,0,0,Inanim,6,держится.,нет,нет,1.0,450.0,951.0,450.0,450.0,700.0,1.0,1.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,0,В,нет,нет,1.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,1,комнате,нет,нет,1.0,999.0,999.0,999.0,999.0,999.0,1.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,2,странный,нет,нет,1.0,551.0,551.0,551.0,551.0,551.0,1.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,3,пакет,нет,нет,1.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,4,в,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,5,углу,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,6,привлекает,нет,нет,1.0,601.0,601.0,601.0,601.0,601.0,1.0,0.0
2,adjectives,6,a,stim_adj,1,M,Match,0,0,Inanim,7,внимание.,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,0,В,Да,Да,1.0,449.0,449.0,449.0,449.0,449.0,1.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,1,холодильнике,Да,Да,1.0,500.0,500.0,500.0,500.0,500.0,1.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,2,готовый,Да,Да,1.0,399.0,399.0,399.0,399.0,399.0,1.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,3,колбаса,Да,Да,1.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,4,из,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,5,Испании,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,6,или,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,7,из,Да,Да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,7,b,stim_adj,1,F,Mis,0,0,Inanim,8,Италии.,Да,Да,1.0,3895.0,3895.0,3895.0,3895.0,3895.0,1.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,0,На,да,да,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,1,реке,да,да,1.0,650.0,650.0,650.0,650.0,650.0,1.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,2,ржавая,да,да,1.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,3,катер,да,да,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,4,вечером,да,да,1.0,699.0,699.0,699.0,699.0,699.0,1.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,5,сильно,да,да,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
2,adjectives,9,d,stim_adj,1,M,Mis,0,0,Inanim,6,тарахтит.,да,да,1.0,3250.0,3250.0,3250.0,3250.0,3250.0,1.0,0.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,0,В,да,нет,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,1,саду,да,нет,0.0,200.0,551.0,200.0,200.0,500.0,1.0,1.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,2,сладкий,да,нет,0.0,450.0,1599.0,450.0,800.0,1151.0,1.0,1.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,3,перец,да,нет,0.0,499.0,499.0,499.0,499.0,749.0,1.0,1.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,4,уже,да,нет,0.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,5,скоро,да,нет,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,14,a,stim_adj,1,M,Match,0,0,Inanim,6,созреет.,да,нет,0.0,250.0,1199.0,250.0,250.0,250.0,1.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,0,На,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,1,дороге,нет,нет,1.0,448.0,1098.0,448.0,448.0,448.0,1.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,2,грязная,нет,нет,1.0,400.0,950.0,400.0,400.0,400.0,1.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,3,машина,нет,нет,1.0,200.0,550.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,4,никак,нет,нет,1.0,649.0,649.0,649.0,649.0,649.0,1.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,5,не,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,6,может,нет,нет,1.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,16,c,stim_adj,1,F,Match,0,0,Inanim,7,завестись.,нет,нет,1.0,750.0,4252.0,750.0,4252.0,6201.0,1.0,1.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,0,В,нет,нет,1.0,350.0,350.0,350.0,350.0,350.0,1.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,1,шкафу,нет,нет,1.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,2,дорогой,нет,нет,1.0,299.0,299.0,299.0,299.0,299.0,1.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,3,сервиз,нет,нет,1.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,4,уже,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,5,давно,нет,нет,1.0,650.0,650.0,650.0,650.0,650.0,1.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,6,пылится,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,7,без,нет,нет,1.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0
2,adjectives,18,a,stim_adj,1,M,Match,0,0,Inanim,8,дела.,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,verbs,20,c,stim_verb,2,F,Match,0,0,Inanim,0,На,нет,нет,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
